,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
100,63105,Healthcare,72500.0,"Centene Corporation operates as a multi-national healthcare enterprise that provides programs and services to under-insured and uninsured individuals in the United States. Its Managed Care segment offers health plan coverage to individuals through government subsidized programs, including Medicaid, the State children's health insurance program, long-term services and support, foster care, and medicare-medicaid plans, which cover dually eligible individuals, as well as aged, blind, or disabled programs. Its health plans include primary and specialty physician care, inpatient and outpatient hospital care, emergency and urgent care, prenatal care, laboratory and X-ray, home-based primary care, transportation assistance, vision care, dental care, telehealth, immunization, specialty pharmacy, therapy, social work, nurse advisory, and care coordination services, as well as prescriptions and limited over-the-counter drugs, medical equipment, and behavioral health and abuse services. This segment also offers various individual, small group, and large group commercial healthcare products to employers and directly to members. The company's Specialty Services segment provides pharmacy benefits management services; nurse advice line and after-hours support services; vision and dental services, as well as staffing services to correctional systems and other government agencies; and services to Military Health System eligible beneficiaries. This segment offers its services and products to state programs, correctional facilities, healthcare organizations, employer groups, and other commercial organizations. The company provides its services through primary and specialty care physicians, hospitals, and ancillary providers. Centene Corporation was founded in 1984 and is headquartered in St. Louis, Missouri.",Saint Louis,314 725 4477,MO,United States,[],https://www.centene.com,1,Centene Plaza,,Healthcare Plans,0.04933,0.01511,0.18495001,8512000000.0,0.132,0.03766,6576000000.0,90.0,buy,19574000000.0,6158374912.0,101.0,83.0,0.283,1.062,0.03949,19.0,101.95,84.234,0.07705,115.0,17178000384.0,21564000256.0,133307998208.0,30.336,USD,229.421,0.988,2.0,NYQ,Centene Corporation,Centene Corporation,America/New_York,EST,True,-18000000,EQUITY,CNC,finmb_26273,us_market,,0.392,,7.94,,,5.79,,583502976.0,,,,45.208,9767594.0,0.0172,,1640908800.0,0.9853,2014000000.0,4.187,,,1.8359582,0.00538,1703980800.0,,1664496000.0,1.95,1663200000.0,562380814.0,0.577745,52213452800.0,2,,1549497600.0,2:1,,,,0.264,0.36329964,1665705600.0,1.07,,14.33506,,0.0194,9136093.0,,,,83.22,83.48,84.9541,,0.0,,84.39,,3330250,83.22,81.7434,,83.48,,3330250,,,,,,,81.96,USD,19.823263,3994295,,,,48430747648.0,,,3823614,81.96,94.83,800,3994295,98.53,,,73.19,0.0,False,,1000,84.39,,83.0,,https://logo.clearbit.com/centene.com,,7700 Forsyth Boulevard,,,,896554fe-d40d-305b-bfcf-2fb3a7b385a9
101,77002,Utilities,9418.0,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The company operates through Electric and Natural Gas segments. The Electric segment includes electric transmission and distribution services to electric customers and electric generation assets, as well as assets in the wholesale power market. The Natural Gas segment provides natural gas distribution services, as well as home appliance maintenance and repair services to customers in Minnesota; and home repair protection plans to natural gas customers in Arkansas, Indiana, Mississippi, Ohio, Oklahoma, and Texas and Louisiana through a third party. This segment also engages in the sale of regulated intrastate natural gas, and transportation and storage of natural gas for residential, commercial, industrial, and transportation customers. As of December 31, 2021, it served approximately 2.7 million metered customers; owned 239 substation sites with a total installed rated transformer capacity of 71,241 megavolt amperes; operated approximately 1,00,000 linear miles of natural gas distribution and transmission mains; and owned and operated 285 miles of intrastate pipeline in Louisiana, Texas, and Oklahoma. The company was founded in 1866 and is headquartered in Houston, Texas.",Houston,713 207 1111,TX,United States,[],https://www.centerpointenergy.com,1,1111 Louisiana Street,,Utilities—Regulated Electric,0.29225,0.18164,0.38278,2076000000.0,0.116,0.16521999,2563000064.0,27.0,buy,3207000000.0,-1359750016.0,31.0,30.95,-0.254,1.029,0.024920002,16.0,31.06,149.965,0.09623,34.0,1251000064.0,15031000064.0,8769999872.0,1.987,USD,14.072,0.545,1.9,NYQ,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc.",America/New_York,EST,True,-18000000,EQUITY,CNP,finmb_279513,us_market,,3.646,,12.476,,,1.45,,628865984.0,,,,10.855,14706822.0,0.0234,,1640908800.0,0.94948995,849000000.0,-1.793,,,2.8512208,0.00126,1703980800.0,,1656547200.0,2.77,1663200000.0,628313150.0,0.878776,31975755776.0,2,,1033430400.0,1000:843,,,,-0.243,2.2193162,1665705600.0,-50.7,,21.344828,,0.026400002,12348051.0,,,,30.91,31.05,30.2061,0.023940472,0.50380003,,31.34,,3799040,30.91,28.7596,0.74,31.05,,3799040,,,0.72,1668556800.0,,,30.79,USD,,3179559,,,,19463403520.0,,,4426188,30.79,0.0,1800,3179559,33.5,,3.62,25.03,0.0,False,0.025999999,1300,31.34,,30.95,,https://logo.clearbit.com/centerpointenergy.com,,,,,,9fda3b6c-f463-31c9-893e-d94684a719fa
102,22102,Financial Services,50767.0,"Capital One Financial Corporation operates as the financial services holding company for the Capital One Bank (USA), National Association; and Capital One, National Association, which provides various financial products and services in the United States, Canada, and the United Kingdom. It operates through three segments: Credit Card, Consumer Banking, and Commercial Banking. The company accepts checking accounts, money market deposits, negotiable order of withdrawals, savings deposits, and time deposits. Its loan products include credit card loans; auto and retail banking loans; and commercial and multifamily real estate, and commercial and industrial loans. The company also offers credit and debit card products; online direct banking services; and treasury management and depository services. It serves consumers, small businesses, and commercial clients through digital channels, branches, cafés, and other distribution channels located in New York, Louisiana, Texas, Maryland, Virginia, New Jersey, and California. Capital One Financial Corporation was founded in 1988 and is headquartered in McLean, Virginia.",McLean,703 720 1000,VA,United States,[],https://www.capitalone.com,1,1680 Capital One Drive,,Credit Services,0.0,0.28977,0.0,,-0.127,0.37197,,68.0,buy,32379000000.0,,121.0,96.6,-0.381,,0.01967,19.0,126.91,,0.14954,171.0,24892000256.0,54606999552.0,29515999232.0,64.924,USD,73.464,,2.3,NYQ,Capital One Financial Corporati,Capital One Financial Corporation,America/New_York,EST,True,-18000000,EQUITY,COF,finmb_336241,us_market,,2.333,,,,,15.93,,425622016.0,,,,123.338,7061529.0,0.0184,,1640908800.0,0.89523005,8179999744.0,15.298,,,0.7832136,0.01097,1703980800.0,,1664496000.0,2.54,1663200000.0,378806868.0,,68871643136.0,2,,928281600.0,3:1,,,,-0.454,1.3929763,1665705600.0,-0.78,,6.0640297,,0.0186,7312491.0,,,,98.86,98.24,112.9332,0.010115314,0.10479999,,99.295,,2921330,98.86,100.112,1.0,98.24,,2921330,,,2.4,1659657600.0,,,95.18,USD,6.314551,3124191,,,,41115086848.0,,,2745880,95.18,96.65,1100,3124191,162.4,,1.66,90.27,94.55,False,0.0235,800,99.295,,96.6,95.3,https://logo.clearbit.com/capitalone.com,,,,,,3e2b4a31-5c30-3070-98e4-0103f7eb5225
103,94583,Healthcare,14000.0,"The Cooper Companies, Inc., together with its subsidiaries, develops, manufactures, and markets contact lens wearers. The company operates in two segments, CooperVision and CooperSurgical. The CooperVision segment offers spherical lense, including lenses that correct near and farsightedness; and toric and multifocal lenses comprising lenses correcting vision challenges, such as astigmatism, presbyopia, myopia, ocular dryness and eye fatigues in the Americas, Europe, Middle East, Africa, and Asia Pacific. The CooperSurgical segment focuses on family and women's health care, which provides medical devices, fertility, genomics, diagnostics, and contraception to health care professionals and patients worldwide. It offers surgical and office products, including PARAGARD, uterine manipulators, retractors, closure products, point of care products, LEEP products, endosee, and illuminate and fetal pillows; fertility products and services, such as fertility consumables and equipment, and embryo options and preimplantation genetic testing. The Cooper Companies, Inc. was founded in 1958 and is headquartered in San Ramon, California.",San Ramon,925 460 3600,CA,United States,[],https://www.coopercos.com,1,6101 Bollinger Canyon Road,,Medical Instruments & Supplies,0.28015,0.13372,0.66295,736200000.0,0.105,0.17624001,901900032.0,280.0,buy,1985200000.0,727137472.0,346.5,324.86,-0.84,1.161,0.03351,10.0,353.8,44.232,0.062080003,560.0,246300000.0,3132999936.0,3219399936.0,4.991,USD,65.335,0.574,2.5,NYQ,"The Cooper Companies, Inc.","The Cooper Companies, Inc.",America/New_York,EST,True,-18000000,EQUITY,COO,finmb_263609,us_market,,5.023,,17.931,,,14.48,,49408000.0,,,,121.99,1068780.0,0.0217,,1635638400.0,1.04637,430500000.0,45.382,,,2.663005,0.0055299997,1698710400.0,,1659225600.0,3.19,1663200000.0,49054844.0,0.93294,16172319744.0,2,,1038182400.0,2:1,,,,-0.84,4.985613,1665705600.0,2.1,,22.435083,,0.024600001,1153486.0,,,,329.83,324.68,327.89224,0.00018191189,0.0069999998,,334.79,,487220,329.83,287.8838,0.06,324.68,,487220,,,0.06,1658793600.0,,,321.73,USD,7.1583443,647137,,,,16050681856.0,,,348582,321.73,520.32,1000,647137,430.67,,0.02,244.22,130.08,False,0.0002,1000,334.79,,324.86,,https://logo.clearbit.com/coopercos.com,,Suite 500,,,,c9cdddf9-eb2c-37dc-810f-f7ed751c0c13
104,77079-2703,Energy,9400.0,"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids worldwide. It primarily engages in the conventional and tight oil reservoirs, shale gas, heavy oil, LNG, oil sands, and other production operations. The company's portfolio includes unconventional plays in North America; conventional assets in North America, Europe, Asia, and Australia; various LNG developments; oil sands assets in Canada; and an inventory of conventional and unconventional exploration prospects. ConocoPhillips was founded in 1917 and is headquartered in Houston, Texas.",Houston,281 293 1000,TX,United States,[],https://www.conocophillips.com,1,925 North Eldridge Parkway,,Oil & Gas E&P,0.45176,0.23785,0.50982,23647000576.0,1.237,0.34542,30218000384.0,87.0,buy,22936000000.0,13755374592.0,133.0,112.87,1.555,1.544,0.16126,27.0,129.94,33.805,0.3368,167.0,8181000192.0,16970999808.0,66889998336.0,6.426,USD,51.069,1.332,1.8,NYQ,ConocoPhillips,ConocoPhillips,America/New_York,EST,True,-18000000,EQUITY,COP,finmb_296527,us_market,,2.542,,5.626,,,3.15,,1318950016.0,,,,27.947,17182359.0,0.0135,,1640908800.0,0.8182,15909999616.0,-2.51,,,4.0387163,0.00132,1703980800.0,,1656547200.0,2.15,1663200000.0,1271200197.0,1.285187,170006937600.0,2,,1335830400.0,1311791:1000000,,,,1.461,2.2255926,1665705600.0,0.33,,35.831745,,0.0135,17627014.0,,,,113.41,114.75,106.77285,0.014901685,0.2483,,115.65,,6274820,113.41,123.4892,1.69,114.75,,6274820,,,1.92,1664323200.0,,,112.04,USD,,5926799,,,,148869890048.0,,,7114474,112.04,0.0,800,5926799,138.49,,2.51,66.06,0.0,False,0.0152,1100,115.65,,112.87,112.42,https://logo.clearbit.com/conocophillips.com,,,,,,97afc5c1-9a02-314c-bde1-c064281437c5
105,98027,Consumer Defensive,304000.0,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan. It offers branded and private-label products in a range of merchandise categories. The company offers sundries, dry groceries, candies, coolers, freezers, liquor, and tobacco and deli products; appliances, electronics, health and beauty aids, hardware, garden and patio products, sporting goods, tires, toys and seasonal products, office supplies, automotive care products, postages, tickets, apparel, small appliances, furniture, domestics, housewares, special order kiosks, and jewelry; and meat, produce, service deli, and bakery products. It also operates pharmacies, optical, food courts, hearing aids, and tire installation centers, as well as 668 gas stations; and offers online business delivery, travel, same-day grocery, and various other services. As of August 28, 2022, the company operated 838 membership warehouses, including 578 in the United States and Puerto Rico, 107 in Canada, 40 in Mexico, 31 in Japan, 29 in the United Kingdom, 17 in Korea, 14 in Taiwan, 13 in Australia, 4 in Spain, 1 in Iceland, 2 in France, and 2 in China. It also operates e-commerce websites in the United States, Canada, the United Kingdom, Mexico, Korea, Taiwan, Japan, and Australia. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington.",Issaquah,425 313 8100,WA,United States,[],https://www.costco.com,1,999 Lake Drive,,Discount Stores,0.04271,0.02575,0.12149,7392000000.0,0.15,0.03434,9692999680.0,455.0,buy,27572000000.0,2280875008.0,565.0,483.52,0.117,1.022,0.07892,29.0,565.17,52.821,0.30549,678.0,11048999936.0,10906000384.0,226954002432.0,24.964,USD,511.56,0.415,2.1,NMS,Costco Wholesale Corporation,Costco Wholesale Corporation,America/New_York,EST,True,-18000000,EQUITY,COST,finmb_92817,us_market,,0.968,,22.659,,,10.99,,443432000.0,,,,35.359,4633803.0,0.0105,,1661644800.0,0.6887,5843999744.0,9.779,,,13.674594,0.0021799998,1724803200.0,,1661644800.0,1.88,1663200000.0,441298463.0,0.721812,219632664576.0,2,,947808000.0,2:1,,,,0.119,0.9447211,1665705600.0,2.46,,43.99636,,0.0105,4262094.0,,,,488.2,488.855,512.69434,0.005735354,0.2572,,491.68,,3373420,488.2,495.498,2.8,488.855,,3373420,,,3.6,1666828800.0,,,481.04,USD,49.444725,2034156,,,,214408232960.0,,,2351712,481.04,0.0,4000,2034156,612.27,,0.84,406.51,0.0,False,0.0072000003,1100,491.68,,483.52,480.02,https://logo.clearbit.com/costco.com,,,,,,ab9e914f-db40-3f4b-8924-8140f0082aa4
106,08103-1799,Consumer Defensive,14700.0,"Campbell Soup Company, together with its subsidiaries, manufactures and markets food and beverage products in the United States and internationally. The company operates through Meals & Beverages and Snacks segments. The Meals & Beverages segment engages in the retail and foodservice businesses in the United States and Canada. This segment provides Campbell's condensed and ready-to-serve soups; Swanson broth and stocks; Pacific Foods broth, soups, and non-dairy beverages; Prego pasta sauces; Pace Mexican sauces; Campbell's gravies, pasta, beans, and dinner sauces; Swanson canned poultry; V8 juices and beverages; Campbell's tomato juice; and snacking products in foodservice in Canada. The Snacks segment retails Pepperidge Farm cookies, crackers, fresh bakery, and frozen products; Milano cookies and Goldfish crackers; and Snyder's of Hanover pretzels, Lance sandwich crackers, Cape Cod and Kettle Brand potato chips, Late July snacks, Snack Factory pretzel crisps, Pop Secret popcorn, Emerald nuts, and other snacking products. This segment is also involved in the retail business in Latin America. It sells its products through retail food chains, mass discounters and merchandisers, club stores, convenience stores, drug stores, and dollar stores, as well as e-commerce and other retail, commercial, and non-commercial establishments, and independent contractor distributors. The company was founded in 1869 and is headquartered in Camden, New Jersey.",Camden,856 342 4800,NJ,United States,[],https://www.campbellsoupcompany.com,1,1 Campbell Place,,Packaged Foods,0.18629,0.08841,0.3074,1180999936.0,0.061,0.14693,1595000064.0,39.0,hold,2632000000.0,891124992.0,48.0,57.0,-0.661,0.68,0.06656,17.0,48.12,151.515,0.23339,55.0,109000000.0,5049999872.0,8561999872.0,0.364,USD,28.445,0.225,3.3,NYQ,Campbell Soup Company,Campbell Soup Company,America/New_York,EST,True,-18000000,EQUITY,CPB,finmb_258458,us_market,,2.388,,12.821,,,3.06,,301737984.0,,,,9.644,13050218.0,0.0435,,1659225600.0,0.53388,757000000.0,2.658,,,5.9104104,0.35913,1722384000.0,,1659225600.0,5.13,1663200000.0,190210159.0,0.358511,20450076672.0,2,,858643200.0,2:1,,,,-0.667,2.0087674,1665705600.0,4.61,,18.62745,,0.0683,13418659.0,,,,56.27,56.45,48.4231,0.02523547,0.58959997,,57.405,,3772890,56.27,51.4852,1.42,56.45,,3772890,,,1.48,1664928000.0,,,56.33,USD,21.444695,2106947,,,,17199065088.0,,,2569703,56.33,57.15,1100,2106947,57.405,,3.24,41.73,56.4,False,0.0287,900,57.405,,57.0,57.2,https://logo.clearbit.com/campbellsoupcompany.com,,,,,,dde97851-ef7f-3fd5-a96b-3d764eb7b5f2
107,75254,Consumer Cyclical,9500.0,"Copart, Inc. provides online auctions and vehicle remarketing services in the United States, Canada, the United Kingdom, Brazil, the Republic of Ireland, Germany, Finland, the United Arab Emirates, Oman, Bahrain, and Spain. It offers a range of services for processing and selling vehicles over the internet through its virtual bidding third generation internet auction-style sales technology to vehicle sellers, insurance companies, banks and finance companies, charities, fleet operators, dealers, vehicle rental companies, and individuals. The company's services include online seller access, salvage estimation, estimating, end-of-life vehicle processing, transportation, vehicle inspection stations, on-demand reporting, title processing and procurement, loan payoff, flexible vehicle processing programs, buy it now, member network, sales process, and dealer services. Its services also comprise services to sell vehicles through CashForCars.com; Copart Recycling service, which allows the public to purchase parts from salvaged and end-of-life vehicles; copart 360, an online technology for posting vehicle images; membership tiers for those registering to buy vehicles through Copart.com; and virtual queue to secure a place in line while visiting one of its locations. The company sells its products principally to licensed vehicle dismantlers, rebuilders, repair licensees, used vehicle dealers, and exporters, as well as to the public. Copart, Inc. was incorporated in 1982 and is headquartered in Dallas, Texas.",Dallas,972 391 5000,TX,United States,[],https://www.copart.com,1,14185 Dallas Parkway,469 791 9009,Auto & Truck Dealerships,0.42953998,0.31138,0.46873,1176683008.0,0.18,0.39275002,1503796992.0,131.0,buy,1641004000.0,545733120.0,143.0,62.47,0.028,4.995,0.17412001,7.0,149.71,2.583,0.26736,182.0,1384236032.0,119473000.0,3500921088.0,5.815,USD,14.746,3.566,1.6,NMS,"Copart, Inc.","Copart, Inc.",America/New_York,EST,True,-18000000,EQUITY,CPRT,finmb_27023,us_market,,7.35,,17.112,,,3.6,,237188000.0,,,,12.452,2386270.0,0.01,,1659225600.0,0.82272005,1090130048.0,2.951,,,5.016865,0.10159001,1722384000.0,,1659225600.0,1.86,1663200000.0,214843842.0,1.170596,25733253120.0,2,,1491868800.0,2:1,,,,0.03,4.232353,1665705600.0,1.09,,17.35278,,0.0112,2326913.0,,,,62.69,62.66,58.945076,,0.0,,63.45,,2159820,62.69,59.791,,62.66,,2159820,,,,,,,61.64,USD,21.169096,2265213,,,,14817134592.0,,,2257332,61.64,67.31,800,2265213,76.285,,,51.105,58.26,False,,900,63.45,,62.47,61.5,https://logo.clearbit.com/copart.com,,Suite 300,,,,7fe951d1-c435-3280-90e1-fd9acd8a4f0d
108,77046,Real Estate,1700.0,"Camden Property Trust, an S&P 400 Company, is a real estate company primarily engaged in the ownership, management, development, redevelopment, acquisition, and construction of multifamily apartment communities. Camden owns interests in and operates 167 properties containing 56,850 apartment homes across the United States. Upon completion of 7 properties currently under development, the Company's portfolio will increase to 59,104 apartment homes in 174 properties. Camden has been recognized as one of the 100 Best Companies to Work For® by FORTUNE magazine for 13 consecutive years, most recently ranking #18. The Company also received a Glassdoor Employees' Choice Award in 2020, ranking #25 for large U.S. companies.",Houston,713-354-2500,TX,United States,[],https://www.camdenliving.com,1,11 Greenway Plaza,713-354-2700,REIT—Residential,0.57901,0.63383,0.62654,664432000.0,0.293,0.19448,749475968.0,126.0,buy,717242000.0,684080768.0,151.0,116.78,14.171,0.119,0.01857,20.0,154.25,72.363,0.18541001,208.0,72095000.0,3746449920.0,1294412032.0,0.677,USD,12.293,0.11,2.1,NYQ,Camden Property Trust,Camden Property Trust,America/New_York,EST,True,-18000000,EQUITY,CPT,finmb_329202,us_market,,12.349,,21.328,,,1.58,,102197000.0,,,,34.093,1749520.0,0.0164,,1640908800.0,1.00279,819078016.0,1.12,,,3.4253366,0.00994,1703980800.0,,1656547200.0,1.9,1663200000.0,105403140.0,0.792925,15984604160.0,2,,,,,,,15.479,9.220067,1665705600.0,0.74,,73.91139,,0.0224,1385833.0,,,,118.44,118.23,137.2035,0.02803107,0.4585,,119.75,,903700,118.44,114.9284,3.32,118.23,,903700,,,3.65,1664409600.0,,,116.27,USD,104.26785,752037,,,,11934565376.0,,,917556,116.27,0.0,800,752037,180.37,,3.0,107.9,108.71,False,0.0317,800,119.75,,116.78,115.62,https://logo.clearbit.com/camdenliving.com,,Suite 2400,,,,48663d48-af58-39b8-b3bd-ed8ca9b60200
109,01887,Healthcare,18600.0,"Charles River Laboratories International, Inc., a non-clinical contract research organization, provides drug discovery, non-clinical development, and safety testing services in the United States, Europe, Canada, the Asia Pacific, and internationally. It operates through three segments: Research Models and Services (RMS), Discovery and Safety Assessment (DSA), and Manufacturing Solutions (Manufacturing). The RMS segment produces and sells rodent research model strains and purpose-bred rats and mice for use by researchers. This segment also provides a range of services to assist its clients in supporting the use of research models in research and screening non-clinical drug candidates, including research models, genetically engineered models and services, insourcing solutions, and research animal diagnostic services. The DSA segment offers early and in vivo discovery services for the identification and validation of novel targets, chemical compounds, and antibodies through delivery of non-clinical drug and therapeutic candidates ready for safety assessment; and safety assessment services, such as toxicology, pathology, safety pharmacology, bioanalysis, drug metabolism, and pharmacokinetics services. The Manufacturing segment provides in vitro methods for conventional and rapid quality control testing of sterile and non-sterile pharmaceuticals and consumer products. This segment also offers specialized testing of biologics that are outsourced by pharmaceutical and biotechnology companies; and avian vaccine services that provide specific-pathogen-free (SPF) fertile chicken eggs, SPF chickens, and diagnostic products used to manufacture vaccines. The company also provides contract vivarium operation services to biopharmaceutical clients. Charles River Laboratories International, Inc. was founded in 1947 and is headquartered in Wilmington, Massachusetts.",Wilmington,781 222 6000,MA,United States,[],https://www.criver.com,1,251 Ballardvale Street,,Diagnostics & Research,0.26709998,0.12021,0.37438,656083968.0,0.064,0.18911,985097984.0,240.0,buy,1337470000.0,405112640.0,278.5,214.33,0.238,1.329,0.06118,12.0,270.17,126.779,0.17865999,300.0,201332992.0,3414297088.0,3688047104.0,3.958,USD,72.901,0.913,1.7,NYQ,Charles River Laboratories Inte,"Charles River Laboratories International, Inc.",America/New_York,EST,False,-18000000,EQUITY,CRL,finmb_91093,us_market,,3.765,,14.097,,,10.65,,50464400.0,,,,42.49,1312102.0,0.025799999,,1640390400.0,0.9821,443347008.0,7.2,,,5.0442457,0.01006,1703462400.0,,1656115200.0,2.19,1663200000.0,50305845.0,1.292188,13887266816.0,2,,,,,,,0.236,2.9327269,1665705600.0,1.71,,20.124884,,0.033299997,1300752.0,,,,209.61,207.52,232.4331,,0.0,,215.24,,851720,209.61,218.868,,207.52,,851720,,,,,,,205.66,USD,29.768057,874080,,,,10816034816.0,,,634980,205.66,0.0,1000,874080,379.65,,,181.36,0.0,False,,900,215.24,,214.33,,https://logo.clearbit.com/criver.com,,,,,,3967529a-ede8-32eb-b408-a3032696a9fe
110,94105,Technology,78634.0,"Salesforce, Inc. provides customer relationship management technology that brings companies and customers together worldwide. Its Customer 360 platform empowers its customers to work together to deliver connected experiences for their customers. The company's service offerings include Sales to store data, monitor leads and progress, forecast opportunities, gain insights through analytics and relationship intelligence, and deliver quotes, contracts, and invoices; and Service that enables companies to deliver trusted and highly personalized customer service and support at scale. Its service offerings also comprise flexible platform that enables companies of various sizes, locations, and industries to build business apps to bring them closer to their customers with drag-and-drop tools; online learning platform that allows anyone to learn in-demand Salesforce skills; and Slack, a system of engagement. In addition, the company's service offerings include Marketing offering that enables companies to plan, personalize, and optimize one-to-one customer marketing journeys; and Commerce offering, which empowers brands to unify the customer experience across mobile, web, social, and store commerce points. Further, its service offerings comprise Tableau, an end-to-end analytics solution serving various enterprise use cases; and MuleSoft, an integration offering that allows its customers to unlock data across their enterprise. The company provides its service offering for customers in financial services, healthcare and life sciences, manufacturing, and other industries. It also offers professional services; and in-person and online courses to certify its customers and partners on architecting, administering, deploying, and developing its service offerings. The company provides its services through direct sales; and consulting firms, systems integrators, and other partners. Salesforce, Inc. was incorporated in 1999 and is headquartered in San Francisco, California.",San Francisco,415 901 7000,CA,United States,[],https://www.salesforce.com,1,Salesforce Tower,415 901 7040,Software—Application,0.08407,0.01828,0.72612,6396000256.0,0.218,0.0044,2464999936.0,150.0,buy,19466000000.0,9370250240.0,219.5,134.75,-0.878,1.058,0.00088,46.0,220.18,23.826,0.00927,385.0,13532999680.0,14318999552.0,29319999488.0,13.533,USD,29.661,0.91,1.9,NYQ,"Salesforce, Inc.","Salesforce, Inc.",America/New_York,EST,True,-18000000,EQUITY,CRM,finmb_122917,us_market,,5.664,,67.366,,,4.15,,985000000.0,,,,45.15,13027909.0,0.012999999,,1643587200.0,0.79899,536000000.0,4.38,,,2.984496,0.03258,1706659200.0,,1659225600.0,1.87,1663200000.0,968180000.0,1.103537,166056001536.0,2,,1366243200.0,4:1,,,,-0.873,4.5269017,1665705600.0,2.2,,32.46988,,0.0135,13293616.0,,,,135.62,135.01,171.04205,,0.0,,137.27,,16318430,135.62,149.6184,,135.01,,16318430,,,,,,,133.23,USD,30.76484,9441389,,,,132728750080.0,,,8617612,133.23,133.0,800,9441389,261.35,,,127.02,132.56,False,,800,137.27,,134.75,132.88,https://logo.clearbit.com/salesforce.com,,3rd Floor 415 Mission Street,,,,01d3fcca-fdd3-37b7-b601-1bfd3a695ce7
