,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2
151,30309,Industrials,12700.0,"Equifax Inc. provides information solutions and human resources business process automation outsourcing services for businesses, governments, and consumers. The company operates through three segments: Workforce Solutions, U.S. Information Solutions (USIS), and International. The Workforce Solutions segment offers employment, income, criminal history, and social security number verification services, as well as payroll-based transaction, employment tax management, and identity theft protection products. The USIS segment provides consumer and commercial information services, such as credit information and credit scoring, credit modeling and portfolio analytics, locate, fraud detection and prevention, identity verification, and other consulting; mortgage services; financial marketing services; identity management services; credit monitoring products; and online information, decisioning technology solutions, as well as portfolio management, mortgage reporting, and consumer credit information services. The International segment offers information service products, which include consumer and commercial services, such as credit and financial information, and credit scoring and modeling; and credit and other marketing products and services, as well as offers information, technology, and other services to support debt collections and recovery management. The company serves customers in financial services, mortgage, employers, consumer, commercial, telecommunication, retail, automotive, utility, brokerage, healthcare, and insurance industries, as well as state, federal, and local governments. It operates in the United States, Canada, Australia, New Zealand, India, the United Kingdom, Spain, Portugal, Argentina, Chile, Costa Rica, Ecuador, El Salvador, Honduras, Mexico, Paraguay, Peru, Uruguay, Brazil, the Republic of Ireland, Russia, Cambodia, Malaysia, Singapore, and the United Arab Emirates. The company was founded in 1899 and is headquartered in Atlanta, Georgia.",Atlanta,404 885 8000,GA,United States,[],https://www.equifax.com,1,"1550 Peachtree Street, NW",,Consulting Services,0.32664,0.13715,0.58211,817000000.0,0.017,0.21872,1691200000.0,150.0,buy,2943000000.0,-725000.0,190.0,191.17,-0.193,0.641,0.06322,17.0,184.94,155.792,0.19482,225.0,241700000.0,5882100224.0,5177500160.0,1.974,USD,42.343,0.538,2.3,NYQ,"Equifax, Inc.",Equifax Inc.,America/New_York,EST,True,-18000000,,EQUITY,EFX,,,finmb_175749,35a1c087-ccaf-39b7-9675-3e5a0a0c4cb2,us_market,,5.031,,15.403,,,8.38,,122002000.0,,,,27.264,2560032.0,0.0209,,1640908800.0,0.97096,710099968.0,4.931,,,7.0118103,0.0042,1703980800.0,,1664496000.0,3.19,1663200000.0,121892434.0,1.486735,26049953792.0,2,,819244800.0,2:1,,,-0.193,4.504707,1665705600.0,2.4,,22.812649,,0.023599999,2090735.0,,,191.9,191.47,196.85435,0.0081292335,0.2713,,193.96,,900540,191.9,181.1898,1.56,191.47,900540,,,1.56,1662076800.0,,,190.2,USD,38.76901,493251,,,,23323121664.0,,,1084323,190.2,191.09,800,493251,295.94,,1.04,145.98,191.04,False,0.0094,800,193.96,191.17,201.5,https://logo.clearbit.com/equifax.com,,
152,91770,Utilities,13003.0,"Edison International, through its subsidiaries, generates and distributes electric power. It delivers electricity to 15 million residential, commercial, industrial, public authorities, agricultural, and other customers across Southern, Central, and Coastal California. The company also provides energy solutions to commercial and industrial users. Its transmission facilities consist of lines ranging from 55 kV to 500 kV and substations; and distribution system consists of approximately 39,000 circuit-miles of overhead lines, approximately 31,000 circuit-miles of underground lines, and 800 substations. The company was founded in 1886 and is headquartered in Rosemead, California.",Rosemead,626 302 2222,CA,United States,[],https://www.edison.com,1,2244 Walnut Grove Avenue,626 302 2117,Utilities—Regulated Electric,0.33325002,0.03053,0.54866004,2623000064.0,0.209,0.20661,5534000128.0,49.0,buy,8708000000.0,-2327124992.0,70.0,64.95,-0.247,0.61,0.02933,15.0,68.0,175.694,0.02898,82.0,122000000.0,31054000128.0,16606000128.0,0.32,USD,43.585,0.299,2.4,NYQ,Edison International,Edison International,America/New_York,EST,True,-18000000,,EQUITY,EIX,,,finmb_301891,37bf455b-98ec-3083-a6aa-3e0a83daa0ef,us_market,,3.437,,10.314,,,4.74,,379908000.0,,,,37.121,5907292.0,0.0155,,1640908800.0,0.89841,507000000.0,2.161,,,1.7496835,0.00089,1703980800.0,,1656547200.0,2.54,1663200000.0,380966638.0,0.738025,57077997568.0,2,,740707200.0,2:1,,,-0.242,1.48591,1665705600.0,2.96,,13.702532,,0.019,5164728.0,,,65.1,65.0,65.26765,0.039938554,2.0771,,65.77,,1985750,65.1,60.8774,2.6,65.0,1985750,,,2.8,1664409600.0,,,64.34,USD,30.055529,1020028,,,,24675022848.0,,,2076479,64.34,65.02,1000,1020028,73.32,,4.02,54.45,63.07,False,0.049200002,800,65.77,64.95,,https://logo.clearbit.com/edison.com,,PO Box 976
153,10153,Consumer Defensive,44730.0,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. It offers a range of skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, cleansing devices, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, nail polishes, and powders, as well as compacts, brushes, and other makeup tools. The company also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products that include shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. It offers its products under the Estée Lauder, Aramis, Clinique, Lab Series, Origins, M·A·C, Bobbi Brown, La Mer, Aveda, Jo Malone London, Bumble and bumble, Darphin, Smashbox, Le Labo, Editions de Parfums Frédéric Malle, GLAMGLOW, Kilian Paris, Too Faced, Dr. Jart+, DECIEM, and The Ordinary brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer websites; third-party online malls; stores in airports; and duty-free shops. The Estée Lauder Companies Inc. was founded in 1946 and is headquartered in New York, New York.",New York,212 572 4200,NY,United States,[],https://www.elcompanies.com,1,767 Fifth Avenue,212 527 3764,Household & Personal Products,0.24091,0.13475001,0.75728995,3040000000.0,-0.095,0.19992,4272999936.0,227.0,buy,13432000000.0,1782875008.0,280.0,236.24,-0.947,1.599,0.103369996,24.0,288.42,120.647,0.35994,377.0,3980999936.0,7760000000.0,17737000960.0,11.154,USD,49.269,0.965,2.0,NYQ,"Estee Lauder Companies, Inc. (T",The Estée Lauder Companies Inc.,America/New_York,EST,True,-18000000,,EQUITY,EL,,,finmb_207221,d4e8bee5-0f20-33fb-8ed5-daaf3c41980d,us_market,,4.374,,18.157,,,7.15,,231704992.0,,,,15.247,2588286.0,0.0072000003,,1656547200.0,0.91934997,2390000128.0,3.777,,,15.494196,0.00596,1719705600.0,,1656547200.0,1.72,1663200000.0,229870902.0,1.031319,77582802944.0,2,,1327276800.0,2:1,,,-0.949,4.7941523,1665705600.0,2.54,,33.040558,,0.0112,2634397.0,,,240.94,240.46,247.0205,0.0063916324,0.3557,,241.66,,2031110,240.94,219.5064,1.54,240.46,2031110,,,2.4,1661817600.0,,,234.68,USD,62.546997,1026388,,,,85033885696.0,,,2085385,234.68,241.71,1100,1026388,374.2,,0.89,186.47,235.84,False,0.0117,1300,241.66,236.24,240.94,https://logo.clearbit.com/elcompanies.com,,
154,46204,Healthcare,98200.0,"Elevance Health Inc. operates as a health benefits company. It supports consumers, families, and communities across the entire care journey connecting to the care, support, and resources to lead healthier lives. It serves approximately 118 million people through a portfolio of medical, digital, pharmacy, behavioral, clinical, and care solutions. The company was formerly known as Anthem, Inc. and changed its name to Elevance Health Inc. in June 2022. Elevance Health Inc. was founded in 1944 and is headquartered in Indianapolis, Indiana.",Indianapolis,800 331 1476,IN,United States,[],https://www.elevancehealth.com,1,220 Virginia Avenue,,Healthcare Plans,0.06619,0.04054,0.25655,11589000192.0,0.115,0.059159998,10142999552.0,500.0,buy,35998000000.0,10044999680.0,571.0,502.89,0.09,1.347,0.056360003,21.0,564.86,66.46,0.17211,640.0,35901001728.0,23953999872.0,153251004416.0,150.322,USD,636.028,1.213,1.9,NYQ,"Elevance Health, Inc.",Elevance Health Inc.,America/New_York,EST,True,-18000000,,EQUITY,ELV,,,finmb_160077,ef95fe16-ab58-3a64-abea-ec93e2c4db62,us_market,,0.751,,11.345,,,,,,,,,,2364162.0,0.0099,,1640908800.0,0.93366,6213000192.0,,,,,0.00227,1703980800.0,,1664496000.0,2.67,1663200000.0,238431128.0,0.883198,115070517248.0,2,,,,,,0.072,,1665705600.0,1.54,,,,0.0099,2682404.0,,,502.05,501.72,490.82736,,0.19489999,,507.5,,1206390,502.05,509.7256,,501.72,1206390,,,5.12,1669939200.0,,,499.16,USD,,565920,,,,,,,1129085,499.16,510.42,800,565920,549.52,,1.13,420.73,494.31,False,0.0095999995,800,507.5,502.89,503.1,https://logo.clearbit.com/elevancehealth.com,,
155,37662,Basic Materials,14000.0,"Eastman Chemical Company operates as a specialty materials company in the United States and internationally. The company's Additives & Functional Products segment offers hydrocarbon and rosin resins; organic acid-based solutions; amine derivative-based building blocks; metam-based soil fumigants, thiram and ziram based fungicides, and plant growth regulators; specialty coalescent, specialty and commodity solvents, paint additives, and specialty polymers; heat transfer and aviation fluids; insoluble sulfur and anti-degradant rubber additives; and performance resins. It serves transportation, personal care, wellness, food, feed, agriculture, building and construction, water treatment, energy, consumables, durables, and electronics markets. Its Advanced Materials segment provides copolyesters, cellulosic biopolymers, cellulose esters, polyvinyl butyral (PVB) sheets, and window and protective films, and aftermarket applied film products for value-added end uses in the transportation, durables, electronics, building and construction, medical and pharma, and consumables markets. The company's Chemical Intermediates segment offers methylamines and salts higher amines and solvents; Olefin and acetyl derivatives, ethylene, and commodity solvents; and primary non-phthalate and phthalate plasticizers, and niche non- phthalate plasticizers to the industrial chemicals and processing, building and construction, health and wellness, and agrochemicals. Its Fibers segment provides cellulose acetate tow, triacetin, cellulose acetate flake, acetic acid, and acetic anhydride for use in filtration media primarily cigarette filters; natural and solution dyed acetate yarns for use in consumables, and health and wellness markets; and wet-laid nonwoven media, specialty and engineered papers, and cellulose acetate fibers for transportation, industrial, agriculture and mining, and aerospace markets. Eastman Chemical Company was founded in 1920 and is headquartered in Kingsport, Tennessee.",Kingsport,423 229 2000,TN,United States,[],https://www.eastman.com,1,200 South Wilcox Drive,423 224 0165,Specialty Chemicals,0.20949,0.1118,0.2237,1239000064.0,0.049,0.16404,2286000128.0,78.0,hold,2504000000.0,1742375040.0,96.5,80.71,,1.272,0.07224,22.0,96.64,96.042,0.2146,115.0,470000000.0,5192999936.0,10912000000.0,3.827,USD,83.713,0.669,2.6,NYQ,Eastman Chemical Company,Eastman Chemical Company,America/New_York,EST,True,-18000000,,EQUITY,EMN,,,finmb_109103,53160944-e94b-3431-9a58-cabc22d8b8b2,us_market,,1.293,,6.173,,,9.06,,134440000.0,,,,45.739,1794031.0,0.0146,,1640908800.0,0.8816,1220000000.0,3.609,,,1.7645773,0.00543,1703980800.0,,1656547200.0,1.2,1663200000.0,122125690.0,1.492262,14110971904.0,2,,1317686400.0,2:1,,,,0.994378,1665705600.0,1.33,,8.908388,,0.016900001,2667318.0,,,82.33,82.4,93.46975,0.032794848,0.32490003,,83.2399,,1026900,82.33,80.7836,2.7,82.4,1026900,,,3.04,1663113600.0,,,80.375,USD,22.363535,788808,,,,10850652160.0,,,1079553,80.375,80.79,800,788808,129.48,,2.89,69.91,79.04,False,0.0401,800,83.2399,80.71,81.91,https://logo.clearbit.com/eastman.com,,
156,63136,Industrials,86700.0,"Emerson Electric Co., a technology and engineering company, provides various solutions for customers in industrial, commercial, and residential markets in the Americas, Asia, the Middle East, Africa, and Europe. The company operates through Automation Solutions, and Commercial & Residential Solutions segments. The Automation Solutions segment offers measurement and analytical instrumentation, industrial valves and equipment, and process control software and systems. It serves oil and gas, refining, chemicals, power generation, life sciences, food and beverage, automotive, pulp and paper, metals and mining, and municipal water supplies markets. The Commercial & Residential Solutions segment offers residential and commercial heating and air conditioning products, such as reciprocating and scroll compressors; system protector and flow control devices; standard, programmable, and Wi-Fi thermostats; monitoring equipment and electronic controls for gas and electric heating systems; gas valves for furnaces and water heaters; ignition systems for furnaces; sensors and thermistors for home appliances; and temperature sensors and controls. It also provides reciprocating, scroll, and screw compressors; precision flow controls; system diagnostics and controls; and environmental control systems. In addition, this segment offers air conditioning, refrigeration, and lighting control technologies, as well as facility design and product management, site commissioning, facility monitoring, and energy modeling services; tools for professionals and homeowners; and appliance solutions. Emerson Electric Co. was incorporated in 1890 and is headquartered in Saint Louis, Missouri.",Saint Louis,314 553 2000,MO,United States,[],https://www.emerson.com,1,8000 West Florissant Avenue,,Specialty Industrial Machinery,0.22086,0.16450001,0.4094,2560000000.0,0.066,0.17860001,4244000000.0,79.0,buy,7563000000.0,2015000064.0,98.0,94.58,0.481,1.064,0.06973,22.0,98.73,74.489,0.24943,120.0,2528999936.0,12131999744.0,19215998976.0,4.277,USD,32.335,0.719,2.2,NYQ,Emerson Electric Company,Emerson Electric Co.,America/New_York,EST,True,-18000000,,EQUITY,EMR,,,finmb_269231,8d4c0b2c-ef25-3d21-ab68-0366c8b1c6bf,us_market,,3.453,,15.637,,,4.19,,595699008.0,,,,14.875,5280872.0,0.0089,,1632960000.0,0.76736,3160999936.0,3.455,,,6.3583193,0.0072500003,1696032000.0,,1656547200.0,1.62,1663200000.0,586628730.0,1.396831,66361757696.0,2,,1165881600.0,2:1,,,0.469,2.931995,1665705600.0,1.66,,22.572792,,0.009,4747047.0,,,94.96,94.98,87.4867,0.021114156,0.38830003,,95.925,,3714830,94.96,89.7776,2.005,94.98,3714830,,,2.06,1660176000.0,,,94.325,USD,27.37482,3525467,,,,56341213184.0,,,3466411,94.325,94.67,1100,3525467,100.0,,2.69,72.41,94.01,False,0.024,1000,95.925,94.58,94.8,https://logo.clearbit.com/emerson.com,,PO Box 4100
157,94538,Technology,2260.0,"Enphase Energy, Inc., together with its subsidiaries, designs, develops, manufactures, and sells home energy solutions for the solar photovoltaic industry in the United States and internationally. The company offers semiconductor-based microinverter, which converts energy at the individual solar module level, and combines with its proprietary networking and software technologies to provide energy monitoring and control services. It also offers AC battery storage systems; Envoy communications gateway; and Enlighten cloud-based monitoring service, as well as other accessories. The company sells its solutions to solar distributors; and directly to large installers, original equipment manufacturers, strategic partners, and homeowners, as well as through its legacy product upgrade program or online store. Enphase Energy, Inc. was incorporated in 2006 and is headquartered in Fremont, California.",Fremont,877 774 7000,CA,United States,[],https://www.enphase.com,1,47281 Bayside Parkway,,Solar,0.19927,0.14671,0.40973,588275968.0,0.806,0.17608,402303008.0,194.0,buy,554422000.0,416894240.0,317.0,305.01,4.155,3.603,0.09017,26.0,308.92,214.642,0.47096002,363.0,1417296000.0,1309428992.0,2018919936.0,10.427,USD,14.952,3.297,2.1,NGM,"Enphase Energy, Inc.","Enphase Energy, Inc.",America/New_York,EST,False,-18000000,,EQUITY,ENPH,,,finmb_40485464,5e94a4bb-e413-3d84-9d5f-c49df8281b53,us_market,,19.597,,98.344,,,2.7,,134912000.0,,,,5.401,4447344.0,0.0328,,1640908800.0,0.74714,296200000.0,0.673,,,56.472878,0.020399999,1703980800.0,,1664496000.0,1.1,1663200000.0,132403151.0,1.469786,39564144640.0,2,,,,,,4.264,20.381943,1665705600.0,1.84,,112.96667,,0.0436,4205433.0,,,303.39,308.11,239.25455,,0.0,,312.91,,3396590,303.39,292.927,,308.11,3396590,,,,,,,301.0,USD,453.20953,2347069,,,,41149509632.0,,,3855766,301.0,302.89,1000,2347069,339.92,,,113.4,305.32,False,,1400,312.91,305.01,307.59,https://logo.clearbit.com/enphase.com,,
158,77002,Energy,2800.0,"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, and natural gas and natural gas liquids. Its principal producing areas are in New Mexico and Texas in the United States; and the Republic of Trinidad and Tobago. As of December 31, 2021, it had total estimated net proved reserves of 3,747 million barrels of oil equivalent, including 1,548 million barrels (MMBbl) of crude oil and condensate reserves; 829 MMBbl of natural gas liquid reserves; and 8,222 billion cubic feet of natural gas reserves. The company was formerly known as Enron Oil & Gas Company. EOG Resources, Inc. was incorporated in 1985 and is headquartered in Houston, Texas.",Houston,713 651 7000,TX,United States,[],https://www.eogresources.com,1,1111 Bagby Street,713 651 6995,Oil & Gas E&P,0.42648,0.2141,0.68075997,8238000128.0,0.924,0.27791,11370000384.0,125.0,buy,13034000000.0,2820875008.0,150.0,125.53,1.458,1.413,0.12344,29.0,149.69,23.785,0.2643,177.0,3072999936.0,5306999808.0,26659999744.0,5.244,USD,45.808,1.18,1.8,NYQ,"EOG Resources, Inc.","EOG Resources, Inc.",America/New_York,EST,True,-18000000,,EQUITY,EOG,,,finmb_269660,d1bb52dc-b58a-35ed-be21-e5c7f866adf9,us_market,,3.038,,7.122,,,5.75,,585089984.0,,,,34.789,7499039.0,0.0128,,1640908800.0,0.89662004,5708000256.0,-1.044,,,3.6083243,0.00447,1703980800.0,,1656547200.0,2.1,1663200000.0,583864436.0,1.501473,80980803584.0,2,,1396310400.0,2:1,,,1.467,2.7549267,1665705600.0,0.87,,21.831305,,0.0128,7057851.0,,,125.77,126.84,122.392,0.011926533,0.2385,,127.845,,5176580,125.77,134.4706,1.5,126.84,5176580,,,3.0,1665705600.0,,,124.48,USD,,1990279,,,,73446342656.0,,,3968196,124.48,125.7,800,1990279,150.88,,1.65,80.67,125.58,False,0.0223,800,127.845,125.53,127.25,https://logo.clearbit.com/eogresources.com,,Sky Lobby 2
159,18940,Technology,61300.0,"EPAM Systems, Inc. provides digital platform engineering and software development services worldwide. The company offers engineering services, including requirements analysis and platform selection, customization, cross-platform migration, implementation, and integration; infrastructure management services, such as software development, testing, and maintenance with private, public, and mobile infrastructures for application, database, network, server, storage, and systems operations management, as well as monitoring, incident notification, and resolution services; and maintenance and support services. It also provides operation solutions comprising integrated engineering practices and smart automation; and optimization solutions that include software application testing, test management, automation, and consulting services to enable customers enhance their existing software testing and quality assurance practices, as well as other testing services that identify threats and close loopholes to protect its customers' business systems from information loss. In addition, the company offers business, experience, technology, data, and technical advisory consulting services; and digital and service design solutions, which comprise strategy, design, creative, and program management services, as well as physical product development, such as artificial intelligence, robotics, and virtual reality. It serves the financial services, travel and consumer, software and hi-tech, business information and media, life sciences and healthcare, and other industries. The company was founded in 1993 and is headquartered in Newtown, Pennsylvania.",Newtown,267 759 9000,PA,United States,[],https://www.epam.com,1,41 University Drive,267 759 8989,Information Technology Services,0.16803,0.08207,0.33363998,516331008.0,0.356,0.14758,749828992.0,406.0,buy,1274447000.0,479804640.0,475.0,328.57,-0.835,3.446,0.12615,15.0,468.67,7.963,0.15145001,535.0,1353616000.0,208938000.0,4462477824.0,23.596,USD,78.438,3.334,1.7,NYQ,"EPAM Systems, Inc.","EPAM Systems, Inc.",America/New_York,EST,False,-18000000,,EQUITY,EPAM,,,finmb_4773318,c494882a-2c40-3dfb-ba2d-3df7085d9923,us_market,,4.177,,24.858,,,9.31,,56719600.0,,,,35.343,913584.0,0.0159,,1640908800.0,0.95584,366257984.0,5.6,,,9.296608,0.03143,1703980800.0,,1656547200.0,2.36,1663200000.0,55587321.0,1.677597,18638987264.0,2,,,,,,-0.838,4.1762357,1665705600.0,1.74,,35.29216,,0.021300001,1250949.0,,,333.3,331.3,334.855,,0.0,,332.67,,369550,333.3,340.0194,,331.3,369550,,,,,,,325.76,USD,58.673218,186069,,,,18636359680.0,,,394333,325.76,328.8,1000,186069,699.12,,,168.59,327.4,False,,1000,332.67,328.57,333.4,https://logo.clearbit.com/epam.com,,Suite 202
160,94065,Real Estate,11451.0,"Equinix (Nasdaq: EQIX) is the world's digital infrastructure company, enabling digital leaders to harness a trusted platform to bring together and interconnect the foundational infrastructure that powers their success. Equinix enables today's businesses to access all the right places, partners and possibilities they need to accelerate advantage. With Equinix, they can scale with agility, speed the launch of digital services, deliver world-class experiences and multiply their value.",Redwood City,650-598-6000,CA,United States,[],https://www.equinix.com,1,One Lagoon Drive,,REIT—Specialty,0.37530997,0.09748,0.44458,2939555072.0,0.096,0.113000005,2461144064.0,571.0,buy,2787604000.0,2290738432.0,697.5,658.19,2.118,2.045,0.01626,22.0,731.14,153.617,0.06008,1000.0,1891310976.0,16328885248.0,6557643776.0,20.766,USD,72.477,1.681,2.0,NMS,"Equinix, Inc.","Equinix, Inc.",America/New_York,EST,True,-18000000,,EQUITY,EQIX,,,finmb_28202,fe2fc2a9-fbf8-3b74-aa49-1c336ad07846,us_market,,9.909,,26.401,,,9.08,,90041200.0,,,,118.079,1349724.0,0.0148,,1640908800.0,0.97103,639265024.0,4.556,,,5.5741496,0.00322,1703980800.0,,1656547200.0,2.38,1663200000.0,90750957.0,0.552689,64977735680.0,2,,1041292800.0,1:32,,,2.165,9.037425,1665705600.0,3.51,,72.487885,,0.0171,1104415.0,,,667.84,664.53,660.2963,0.016246406,1.7009,,668.235,,537230,667.84,613.9096,10.85,664.53,537230,,,12.4,1660608000.0,,,655.14,USD,144.46663,365392,,,,59264217088.0,,,526468,655.14,656.04,900,365392,853.42,,1.74,494.89,655.27,False,0.0223,800,668.235,658.19,663.22,https://logo.clearbit.com/equinix.com,,
161,60606,Real Estate,2400.0,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract high quality long-term renters. Equity Residential owns or has investments in 305 properties consisting of 78,568 apartment units, located in Boston, New York, Washington, D.C., Seattle, San Francisco, Southern California and Denver.",Chicago,312-474-1300,IL,United States,[],https://www.equityapartments.com,1,Two North Riverside Plaza,,REIT—Residential,0.61072,0.42709,0.63195,,0.115,0.27734,1637086976.0,59.0,hold,1515205000.0,,75.0,59.65,-0.255,0.214,0.02271,21.0,76.71,67.121,0.104729995,95.0,44788000.0,7807738880.0,2680606976.0,0.119,USD,7.139,0.097,2.6,NYQ,Equity Residential,Equity Residential,America/New_York,EST,True,-18000000,,EQUITY,EQR,,,finmb_28209,ce422961-0af7-3abb-bdb6-618d92a33599,us_market,,11.863,,19.425,,,1.05,,375016000.0,,,,27.56,5914641.0,0.015700001,,1640908800.0,0.93991995,1141774976.0,1.773,,,2.1643686,0.01784,1703980800.0,,1664496000.0,3.02,1663200000.0,369887226.0,0.83714,31800551424.0,2,,1002844800.0,2:1,,,-0.252,8.345016,1665705600.0,-2.0,,56.80953,,0.0216,4694110.0,,,60.83,60.6,74.158,0.039618608,0.86550003,,60.55,,2259370,60.83,62.8342,2.41,60.6,2259370,,,2.5,1663891200.0,,,58.93,USD,33.643543,2311806,,,,22369705984.0,,,1980034,58.93,59.7,800,2311806,94.32,,3.24,58.93,59.61,False,0.0402,900,60.55,59.65,62.65,https://logo.clearbit.com/equityapartments.com,,Suite 400
162,15222-3111,Energy,693.0,"EQT Corporation operates as a natural gas production company in the United States. As of December 31, 2021, it had 25.0 trillion cubic feet of proved natural gas, natural gas liquids, and crude oil reserves across approximately 2.0 million gross acres, including 1.7 million gross acres in the Marcellus play. The company was founded in 1878 and is headquartered in Pittsburgh, Pennsylvania.",Pittsburgh,412 553 5700,PA,United States,[],https://www.eqt.com,1,625 Liberty Avenue,,Oil & Gas E&P,0.41515,0.15055999,0.80933,,1.092,0.26371,5103218176.0,50.0,buy,4672261000.0,,60.5,36.11,,,,20.0,63.05,55.468,,85.0,43745000.0,5042068992.0,12292404224.0,0.118,USD,32.959,,1.9,NYQ,EQT Corporation,EQT Corporation,America/New_York,EST,True,-18000000,,EQUITY,EQT,,,finmb_269924,bfa511a0-149d-3859-b584-acb8d48f75a0,us_market,,1.586,,3.82,,,0.5,,377955008.0,,,,33.251,28403419.0,0.0769,,1640908800.0,0.98584,1850722944.0,-3.711,,,1.0859824,0.00479,1703980800.0,,1664496000.0,2.38,1663200000.0,368310482.0,1.167649,19492538368.0,2,,1542067200.0,1837:1000,,,,1.1102755,1665705600.0,0.09,,72.22,,0.0908,24124831.0,,,37.24,36.58,40.60105,0.00080558535,0.0637,,36.91,,7962360,37.24,40.7026,0.03,36.58,7962360,,,0.6,1667865600.0,,,35.77,USD,,3907781,,,,13647955968.0,,,8545146,35.77,36.19,800,3907781,51.97,,,19.2,36.15,False,0.0154,900,36.91,36.11,36.51,https://logo.clearbit.com/eqt.com,,Suite 1700
